iter	Passed	Remaining
734	603847	217713
735	604741	216918
736	605576	216101
737	606452	215299
738	607311	214490
739	608160	213678
740	608985	212857
741	609808	212035
742	610634	211215
743	611431	210385
744	612277	209571
745	613113	208754
746	613945	207936
747	614765	207113
748	615549	206279
749	616370	205456
750	617170	204627
751	617987	203804
752	618787	202975
753	619606	202152
754	620395	201320
755	621236	200505
756	622087	199692
757	622941	198880
758	623789	198067
759	624614	197246
760	625426	196421
761	626277	195608
762	627095	194786
763	627906	193960
764	628726	193138
765	629521	192308
766	630323	191480
767	631135	190655
768	631932	189826
769	632753	189004
770	633553	188176
771	634359	187349
772	635147	186518
773	635961	185694
774	636767	184868
775	637570	184041
776	638358	183209
777	639140	182376
778	639948	181551
779	640749	180724
780	641537	179893
781	642345	179068
782	643144	178240
783	643937	177411
784	644744	176585
785	645549	175760
786	646374	174940
787	647206	174121
788	648017	173297
789	648849	172478
790	649674	171658
791	650490	170835
792	651278	170005
793	652079	169179
794	652903	168358
795	653729	167538
796	654552	166717
797	655356	165892
798	656148	165063
799	656941	164235
800	657730	163406
801	658509	162574
802	659321	161751
803	660128	160926
804	660932	160101
805	661757	159281
806	662559	158455
807	663345	157626
808	664145	156800
809	664931	155971
810	665720	155143
811	666518	154317
812	667323	153492
813	668135	152669
814	668934	151843
815	669742	151020
816	670546	150195
817	671356	149372
818	672283	148575
819	673366	147812
820	674347	147025
821	675255	146223
822	676167	145421
823	677106	144624
824	677949	143807
825	678774	142986
826	679609	142167
827	680447	141348
828	681284	140530
829	682126	139712
830	682951	138891
831	683785	138072
832	684622	137253
833	685454	136433
834	686285	135613
835	687156	134800
836	688011	133985
837	688866	133169
838	689677	132345
839	690504	131524
840	691302	130698
841	692099	129871
842	692898	129045
843	693693	128218
844	694537	127400
845	695339	126574
846	696145	125749
847	696965	124927
848	697799	124108
849	698631	123287
850	699468	122468
851	700297	121647
852	701117	120825
853	701959	120007
854	702807	119189
855	703641	118369
856	704466	117548
857	705289	116726
858	706073	115898
859	706849	115068
860	707610	114236
861	708425	113413
862	709213	112586
863	710008	111760
864	710824	110937
865	711643	110115
866	712480	109296
867	713296	108473
868	714078	107645
869	714886	106822
870	715739	106005
871	716592	105187
872	717426	104367
873	718256	103547
874	719089	102727
875	719898	101903
876	720713	101080
877	721515	100256
878	722345	99435
879	723188	98616
880	724031	97797
881	724870	96978
882	725695	96156
883	726495	95332
884	727328	94511
885	728138	93688
886	728941	92864
887	729749	92040
888	730573	91218
889	731398	90397
890	732205	89573
891	733032	88752
892	733875	87933
893	734686	87110
894	735527	86290
895	736354	85469
896	737181	84648
897	738041	83830
898	738885	83011
899	739712	82190
900	740523	81367
901	741332	80543
902	742146	79721
903	742948	78897
904	743751	78073
905	744578	77252
906	745372	76427
907	746160	75602
908	746951	74777
909	747797	73957
910	748599	73134
911	749423	72312
912	750237	71490
913	751041	70666
914	751850	69844
915	752682	69023
916	753516	68202
917	754364	67383
918	755183	66561
919	755969	65736
920	756766	64912
921	757584	64090
922	758382	63267
923	759195	62444
924	759998	61621
925	760787	60797
926	761586	59973
927	762365	59149
928	763206	58329
929	764048	57509
930	764870	56687
931	765688	55865
932	766471	55041
933	767261	54217
934	768055	53394
935	768858	52571
936	769645	51747
937	770426	50923
938	771230	50101
939	772007	49277
940	772828	48455
941	773643	47634
942	774462	46812
943	775259	45989
944	776059	45167
945	776852	44344
946	777635	43521
947	778418	42698
948	779238	41876
949	780050	41055
950	780904	40235
951	781721	39414
952	782538	38593
953	783372	37772
954	784205	36952
955	785022	36130
956	785817	35308
957	786624	34486
958	787429	33664
959	788221	32842
960	789010	32020
961	789786	31197
962	790578	30375
963	791361	29552
964	792167	28731
965	792969	27909
966	793762	27088
967	794564	26266
968	795354	25444
969	796168	24623
970	796960	23802
971	797739	22980
972	798523	22158
973	799299	21336
974	800083	20514
975	800871	19693
976	801734	18874
977	802515	18052
978	803297	17231
979	804091	16410
980	804903	15589
981	805717	14768
982	806512	13947
983	807307	13126
984	808110	12306
985	808912	11485
986	809709	10664
